"Species","ESV","Mean_Abundance"
"MOCH","ESV_097632",7.61538461538461
"MOCH","ESV_097223",7.58974358974359
"MOCH","ESV_097736",7.46153846153846
"MOCH","ESV_097481",7.17948717948718
"MOCH","ESV_097379",7.1025641025641
"MOCH","ESV_097862",7.07692307692308
"MOCH","ESV_021448",7.05128205128205
"MOCH","ESV_097795",7
"MOCH","ESV_097380",6.97435897435897
"MOCH","ESV_097342",6.8974358974359
"MOCH","ESV_097479",6.82051282051282
"MOCH","ESV_097337",6.82051282051282
"MOCH","ESV_097146",6.79487179487179
"MOCH","ESV_097986",6.76923076923077
"MOCH","ESV_097568",6.76923076923077
"MOCH","ESV_097940",6.71794871794872
"MOCH","ESV_097067",6.61538461538461
"MOCH","ESV_097870",6.56410256410256
"MOCH","ESV_097749",6.56410256410256
"MOCH","ESV_097584",6.53846153846154
"MOCH","ESV_097618",6.46153846153846
"MOCH","ESV_097752",6.43589743589744
"MOCH","ESV_097298",6.43589743589744
"MOCH","ESV_097191",6.43589743589744
"MOCH","ESV_097803",6.41025641025641
"MOCH","ESV_097232",6.41025641025641
"MOCH","ESV_097046",6.35897435897436
"MOCH","ESV_097993",6.30769230769231
"MOCH","ESV_097970",6.30769230769231
"MOCH","ESV_097397",6.20512820512821
"MOCH","ESV_097166",6.15384615384615
"MOCH","ESV_042115",6.1025641025641
"MOCH","ESV_097236",6.05128205128205
"MOCH","ESV_097692",5.94871794871795
"MOCH","ESV_045182",5.94871794871795
"MOCH","ESV_097992",5.8974358974359
"MOCH","ESV_097462",5.8974358974359
"MOCH","ESV_097077",5.87179487179487
"MOCH","ESV_097718",5.84615384615385
"MOCH","ESV_041111",5.82051282051282
"MOCH","ESV_097834",5.82051282051282
"MOCH","ESV_096988",5.82051282051282
"MOCH","ESV_097044",5.64102564102564
"MOCH","ESV_097367",5.61538461538461
"MOCH","ESV_097532",5.61538461538461
"MOCH","ESV_097886",5.51282051282051
"MOCH","ESV_002221",5.51282051282051
"MOCH","ESV_097790",5.51282051282051
"MOCH","ESV_097246",5.46153846153846
"MOCH","ESV_097085",5.46153846153846
"MOCH","ESV_097904",5.41025641025641
"MOCH","ESV_097762",5.41025641025641
"MOCH","ESV_097427",5.41025641025641
"MOCH","ESV_097535",5.33333333333333
"MOCH","ESV_097822",5.28205128205128
"MOCH","ESV_097334",5.25641025641026
"MOCH","ESV_097739",5.20512820512821
"MOCH","ESV_097366",5.20512820512821
"MOCH","ESV_097222",5.20512820512821
"MOCH","ESV_097756",5.15384615384615
"MOCH","ESV_097007",5.1025641025641
"MOCH","ESV_097553",5.1025641025641
"MOCH","ESV_097389",5.02564102564103
"MOCH","ESV_097944",4.97435897435897
"MOCH","ESV_097413",4.97435897435897
"MOCH","ESV_097763",4.94871794871795
"MOCH","ESV_004592",4.94871794871795
"MOCH","ESV_097229",4.92307692307692
"MOCH","ESV_097589",4.8974358974359
"MOCH","ESV_040818",4.8974358974359
"MOCH","ESV_097872",4.87179487179487
"MOCH","ESV_001832",4.84615384615385
"MOCH","ESV_097450",4.79487179487179
"MOCH","ESV_097878",4.76923076923077
"MOCH","ESV_097434",4.76923076923077
"MOCH","ESV_097843",4.69230769230769
"MOCH","ESV_097513",4.69230769230769
"MOCH","ESV_097180",4.66666666666667
"MOCH","ESV_097194",4.61538461538461
"MOCH","ESV_097149",4.61538461538461
"MOCH","ESV_097084",4.53846153846154
"MOCH","ESV_097672",4.48717948717949
"MOCH","ESV_097956",4.46153846153846
"MOCH","ESV_097799",4.46153846153846
"MOCH","ESV_086278",4.43589743589744
"MOCH","ESV_097293",4.43589743589744
"MOCH","ESV_097081",4.38461538461539
"MOCH","ESV_097089",4.35897435897436
"MOCH","ESV_097930",4.33333333333333
"MOCH","ESV_097854",4.33333333333333
"MOCH","ESV_097112",4.33333333333333
"MOCH","ESV_097751",4.30769230769231
"MOCH","ESV_097784",4.30769230769231
"MOCH","ESV_097280",4.25641025641026
"MOCH","ESV_097885",4.23076923076923
"MOCH","ESV_097877",4.23076923076923
"MOCH","ESV_097694",4.17948717948718
"MOCH","ESV_097411",4.17948717948718
"MOCH","ESV_097534",4.15384615384615
"MOCH","ESV_097704",4.15384615384615
"MOCH","ESV_097310",4.07692307692308
"MOCH","ESV_097794",4.05128205128205
"MOCH","ESV_097475",4.05128205128205
"MOCH","ESV_004853",4.02564102564103
"MOCH","ESV_097307",4.02564102564103
"MOCH","ESV_097596",3.97435897435897
"MOCH","ESV_097327",3.87179487179487
"MOCH","ESV_097858",3.84615384615385
"MOCH","ESV_097219",3.84615384615385
"MOCH","ESV_097086",3.84615384615385
"MOCH","ESV_097622",3.76923076923077
"MOCH","ESV_097126",3.76923076923077
"MOCH","ESV_097061",3.69230769230769
"MOCH","ESV_097793",3.66666666666667
