Species,USGS.Number,Band.Colors,Year,Date,Time.Trapped,Time.Bled,Recap,Site,Location,GPS.S,GPS.E,Elevation.(m),Bander,Sex,How.Sex,Age,How.Age,Release,Bird+Bag.(g),bag.(g),Bird.(g),Wing.(mm),Tarsus.(mm),Tail.(mm),Culmen.(mm),Culmen Depth.(mm),Culmen Width.(mm),Bill+Head.(mm),Hemo,Plasma,Blood,Fecal,Feather,Nest,Nest.Stage,Captured.with,,,,,,,,,,,
BCCH,2130-17475,YWO,2021,4-Jun,1011,1016,N,BLD,BLD-276 - Vanessa,-,-,-,ANT,M,CP,AHY,rec,Y,29.5,17.5,12,63,19.8,64,8,4.5,4.6,28.2,Y,N,N,N,N,BLD-276 - Vanessa,D12 nestlings,AGA,,,,,,,,,,,
BCCH,2130-17479,VBG,2021,6-Jun,656,708,N,BLD,BLD-281 - Stephanie M,-,-,-,ANT,F,BP,AHY,breeding,Y,26.5,16,10.5,63,N/A,61,7.7,4.4,4.4,26.8,Y,N,N,N,N,BLD-281 - Stephanie M,D12 nestlings,YYY,,,,,,,,,,,
BCCH,2130-17497,VAW,2021,9-Jun,623,627,N,BLD,BLD-333 - Madga,-,-,-,ANT,M,CP,AHY,breeding,Y,26.5,15,11.5,62,20.3,60,8,4.4,4.2,28.4,Y,N,N,N,N,BLD-333 - Madga,D12 nestlings,YOB,,,,,,,,,,,
BCCH,2910-53902,WOG,2021,9-Jun,909,920,N,BLD,BLD-289 - Shopnitz,-,-,-,ANT,M,CP,AHY,breeding,Y,28,16,12,68,19,67,7.6,4.5,4.5,27.8,Y,N,N,N,N,BLD-289 - Shopnitz,D12 nestlings,ABV,,,,,,,,,,,
BCCH,2910-53914,WVG,2021,10-Jun,813,819,N,BLD,BLD-365 - Bob&Ann Parker,-,-,-,ANT,M,CP,AHY,CP,Y,25.5,15,10.5,67,18.4,64,7.4,4.4,4.8,28.2,Y,N,N,N,N,BLD-365 - Bob&Ann Parker,before D12 nestlings,VYY,,,,,,,,,,,
BCCH,2910-53915,VYY,2021,10-Jun,830,836,N,BLD,BLD-365 - Bob&Ann Parker,-,-,-,ANT,F,BP,AHY,BP,Y,28,18,10,65,17.3,62,8.2,4.3,4.7,27.7,Y,N,N,N,N,BLD-365 - Bob&Ann Parker,before D12 nestlings,WVG,,,,,,,,,,,
BCCH,2910-53929,VYB,2021,14-Jun,615,617,N,BLD,BLD-319 - Erin Harding,-,-,-,ANT,M,CP,AHY,breeding,Y,28.5,16,12.5,65,20.4,68,7.7,4,4.2,27.8,Y,N,N,N,N,BLD-319 - Erin Harding,D12 nestlings,PWP,,,,,,,,,,,
BCCH,2910-54250,WBO,2021,13-Jul,800,807,N,MRS,MRS-089,-,-,-,ANT,F,BP,AHY,BP,Y,27.5,16,11.5,67,19.9,69,8.1,5.3,5,27.8,Y,N,N,N,N,MRS-089,D12 nestlings,BXG,missing a color band on left leg (X) due to swollen leg,,,,,,,,,,
BCCH,2910-54251,BXG,2021,13-Jul,829,837,N,MRS,MRS-089,-,-,-,ANT,M,CP,AHY,CP,Y,27.5,16,11.5,65,18.1,67,8,4.4,4.5,27.9,Y,N,N,N,N,MRS-089,D12 nestlings,WBO,,,,,,,,,,,
BCCH,2830-31802,BOP,2017,20-Jun,,,N,2868 Loma Pl,Backyard,,,,KCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCCH,2830-31803,WLO,2017,6-Jul,,,N,Carol Kearns,Feeder,,,,KCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCCH,2830-31804,LBL,2017,11-Jul,,,N,Louise,Side yard,,,,KCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCCH,2830-31805,OLB,2017,11-Jul,,,N,Louise,Side yard,,,,KCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
